Case ID;Activity;Resource;Complete Timestamp;Span;Work Order  Qty;Part Desc.;Worker ID;Report Type
Case 110;Lapping;Machine 1 - Lapping;2012/03/27 01:15:00.000;000:00;500;Ballnut;ID4882;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/28 09:48:00.000;000:01;500;Ballnut;ID4618;D
Case 110;Round Grinding;Machine 3 - Round Grinding;2012/03/28 13:55:00.000;000:48;500;Ballnut;ID4445;S
Case 110;Round Grinding;Machine 3 - Round Grinding;2012/03/28 15:57:00.000;001:44;500;Ballnut;ID4872;D
Case 110;Round Grinding;Machine 3 - Round Grinding;2012/03/28 20:12:00.000;004:11;500;Ballnut;ID4528;D
Case 110;Packing;Packing;2012/03/29 01:00:00.000;000:00;500;Ballnut;ID4820;D
Case 110;Packing;Packing;2012/03/29 01:00:00.000;000:00;500;Ballnut;ID4820;D
Case 110;Round Grinding;Machine 3 - Round Grinding;2012/03/29 05:26:00.000;009:17;500;Ballnut;ID0420;D
Case 110;Round Grinding;Machine 3 - Round Grinding;2012/03/29 06:50:00.000;001:20;500;Ballnut;ID4445;D
Case 110;Flat Grinding;Machine 11 - Grinding;2012/03/29 08:20:00.000;000:01;500;Ballnut;ID0998;D
Case 110;Lapping;Machine 1 - Lapping;2012/03/29 09:36:00.000;000:00;500;Ballnut;ID0998;D
Case 110;Round Grinding;Machine 3 - Round Grinding;2012/03/29 09:58:00.000;002:59;500;Ballnut;ID4872;D
Case 110;Final Inspection Q.C.;Quality Check 1;2012/03/29 10:29:00.000;001:09;500;Ballnut;ID4618;D
Case 110;Round Grinding;Machine 3 - Round Grinding;2012/03/29 15:43:00.000;005:04;500;Ballnut;ID4445;D
Case 110;Round Grinding;Machine 3 - Round Grinding;2012/03/29 17:53:00.000;001:54;500;Ballnut;ID4528;D
Case 110;Packing;Packing;2012/03/30 01:00:00.000;000:00;500;Ballnut;ID4491;D
Case 110;Final Inspection Q.C.;Quality Check 1;2012/03/30 10:28:00.000;003:07;500;Ballnut;ID4618;D
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/08 06:51:00.000;000:38;492;Ballnut;ID4641;S
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/13 17:48:00.000;003:47;492;Ballnut;ID3846;S
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/13 23:10:00.000;001:42;492;Ballnut;ID4132;S
Case 112;Turning & Milling Q.C.;Quality Check 1;2012/03/14 08:40:00.000;001:40;492;Ballnut;ID4287;D
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/14 09:02:00.000;000:47;492;Ballnut;ID3846;B
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/14 13:21:00.000;004:19;492;Ballnut;ID3846;S
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/14 17:51:00.000;001:41;492;Ballnut;ID4132;D
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/15 06:48:00.000;010:05;492;Ballnut;ID4794;D
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/15 09:43:00.000;001:21;492;Ballnut;ID3846;S
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/15 17:22:00.000;007:38;492;Ballnut;ID3846;D
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/16 06:47:00.000;009:43;492;Ballnut;ID4794;D
Case 112;Turning & Milling;Machine 9 - Turning & Milling;2012/03/18 06:50:00.000;003:32;492;Ballnut;ID4641;D
Case 112;Turning & Milling Q.C.;Quality Check 1;2012/03/18 12:33:00.000;000:33;492;Ballnut;ID4287;D
Case 112;Turning & Milling Q.C.;Quality Check 1;2012/03/18 12:33:00.000;000:33;492;Ballnut;ID4287;D
Case 112;Laser Marking;Machine 7- Laser Marking;2012/03/18 14:55:00.000;002:13;492;Ballnut;ID4718;D
Case 112;Lapping;Machine 1 - Lapping;2012/03/18 18:10:00.000;002:27;492;Ballnut;ID0998;D
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/19 00:19:00.000;002:41;492;Ballnut;ID4641;S
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/19 03:10:00.000;002:51;492;Ballnut;ID4641;D
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/19 06:46:00.000;003:34;492;Ballnut;ID4529;D
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/19 16:39:00.000;009:13;492;Ballnut;ID4718;D
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/20 06:48:00.000;009:30;492;Ballnut;ID4641;D
Case 112;Final Inspection Q.C.;Quality Check 1;2012/03/20 13:30:00.000;002:00;492;Ballnut;ID4287;D
Case 112;Final Inspection Q.C.;Quality Check 1;2012/03/20 16:33:00.000;000:33;492;Ballnut;ID4287;D
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/20 17:52:00.000;010:32;492;Ballnut;ID3846;D
Case 112;Packing;Packing;2012/03/21 01:00:00.000;000:00;492;Ballnut;ID4820;D
Case 112;Packing;Packing;2012/03/21 01:00:00.000;000:00;492;Ballnut;ID4820;D
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/21 03:29:00.000;005:59;492;Ballnut;ID4641;D
Case 112;Turning & Milling Q.C.;Quality Check 1;2012/03/21 10:00:00.000;001:29;492;Ballnut;ID4287;D
Case 112;Laser Marking;Machine 7- Laser Marking;2012/03/21 12:32:00.000;002:31;492;Ballnut;ID4718;D
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/21 17:43:00.000;002:12;492;Ballnut;ID4132;D
Case 112;Turning & Milling;Machine 10 - Grinding;2012/03/22 05:32:00.000;009:03;492;Ballnut;ID4641;D
Case 112;Grinding Rework;Machine 11 - Grinding;2012/03/22 08:42:00.000;001:00;492;Ballnut;ID4882;D
Case 112;Grinding Rework;Machine 11 - Grinding;2012/03/22 12:22:00.000;003:20;492;Ballnut;ID4882;D
Case 112;Turn & Mill. & Screw Assem;Machine 1 - Lapping;2012/03/22 14:33:00.000;004:33;492;Ballnut;ID4718;D
Case 112;Final Inspection Q.C.;Quality Check 1;2012/03/25 16:03:00.000;006:14;492;Ballnut;ID4287;D
Case 112;Packing;Packing;2012/03/29 01:00:00.000;000:00;492;Ballnut;ID4820;D
Case 112;Final Inspection Q.C.;Quality Check 1;2012/03/29 09:34:00.000;000:34;492;Ballnut;ID4287;D
Case 114;Turning & Milling;Machine 6 - Turning & Milling;2012/02/29 06:53:00.000;004:50;20;Ballnut;ID4794;S
Case 114;Turning & Milling;Machine 6 - Turning & Milling;2012/02/29 08:01:00.000;000:51;20;Ballnut;ID4718;S
Case 114;Turning & Milling Q.C.;Quality Check 1;2012/02/29 08:19:00.000;001:23;20;Ballnut;ID4618;D
Case 114;Turning & Milling;Machine 6 - Turning & Milling;2012/03/01 03:48:00.000;007:32;20;Ballnut;ID4794;D
Case 114;Turning & Milling Q.C.;Quality Check 1;2012/03/05 01:15:00.000;000:00;20;Ballnut;ID4618;D
Case 114;Turning & Milling Q.C.;Quality Check 1;2012/03/05 17:41:00.000;000:01;20;Ballnut;ID4618;D
Case 114;Turning & Milling Q.C.;Quality Check 1;2012/03/07 08:04:00.000;000:08;20;Ballnut;ID4618;D
Case 115;Turning & Milling;Machine 4 - Turning & Milling;2012/03/05 16:01:00.000;006:20;90;Ballnut;ID4932;S
Case 115;Turning & Milling;Machine 4 - Turning & Milling;2012/03/06 06:29:00.000;006:24;90;Ballnut;ID4529;D
Case 115;Turning & Milling;Machine 4 - Turning & Milling;2012/03/06 08:35:00.000;001:36;90;Ballnut;ID4932;D
Case 115;Turning & Milling;Machine 4 - Turning & Milling;2012/03/06 09:48:00.000;001:13;90;Ballnut;ID4932;S
Case 115;Turning & Milling Q.C.;Quality Check 1;2012/03/06 12:00:00.000;001:30;90;Ballnut;ID4287;D
Case 115;Turning & Milling Q.C.;Quality Check 1;2012/03/06 12:50:00.000;000:50;90;Ballnut;ID4287;D
Case 115;Turning & Milling;Machine 4 - Turning & Milling;2012/03/06 13:48:00.000;003:59;90;Ballnut;ID4932;D
Case 115;Flat Grinding;Machine 11 - Grinding;2012/03/08 15:52:00.000;001:06;90;Ballnut;ID4882;D
Case 115;Flat Grinding;Machine 11 - Grinding;2012/03/09 01:15:00.000;000:00;90;Ballnut;ID4882;D
Case 115;Flat Grinding;Machine 11 - Grinding;2012/03/09 10:17:00.000;001:12;90;Ballnut;ID4882;D
Case 115;Turning & Milling Q.C.;Quality Check 1;2012/03/11 08:00:00.000;001:00;90;Ballnut;ID4287;D
Case 115;Lapping;Machine 1 - Lapping;2012/03/11 11:14:00.000;001:28;90;Ballnut;ID4882;D
Case 115;Round Grinding;Machine 2 - Round Grinding;2012/03/11 22:49:00.000;002:08;90;Ballnut;ID4385;S
Case 115;Round Grinding;Machine 2 - Round Grinding;2012/03/11 23:50:00.000;001:00;90;Ballnut;ID4385;D
Case 115;Round Grinding;Machine 2 - Round Grinding;2012/03/12 07:00:00.000;007:09;90;Ballnut;ID0420;D
Case 115;Round Grinding - Q.C.;Quality Check 1;2012/03/12 07:51:00.000;000:51;90;Ballnut;ID4287;D
Case 115;Round Grinding;Machine 2 - Round Grinding;2012/03/12 15:45:00.000;008:45;90;Ballnut;ID4355;D
Case 115;Round Grinding;Machine 2 - Round Grinding;2012/03/12 17:05:00.000;000:58;90;Ballnut;ID4385;D
Case 115;Round Grinding;Machine 2 - Round Grinding;2012/03/12 18:16:00.000;001:10;90;Ballnut;ID4385;D
Case 115;Round Grinding - Q.C.;Quality Check 1;2012/03/21 12:40:00.000;001:43;90;Ballnut;ID4287;D
Case 115;Laser Marking;Machine 7- Laser Marking;2012/03/21 14:24:00.000;001:43;90;Ballnut;ID4718;D
Case 115;Final Inspection Q.C.;Quality Check 1;2012/03/25 10:00:00.000;001:00;90;Ballnut;ID4287;D
Case 115;Packing;Packing;2012/03/26 01:00:00.000;000:00;90;Ballnut;ID4820;D
Case 118;Turning & Milling;Machine 6 - Turning & Milling;2012/03/25 01:15:00.000;000:00;10;Ballnut;ID4429;S
Case 118;Turning & Milling;Machine 6 - Turning & Milling;2012/03/28 22:11:00.000;002:01;10;Ballnut;ID4794;S
Case 118;Turning & Milling;Machine 6 - Turning & Milling;2012/03/29 01:29:00.000;003:17;10;Ballnut;ID4794;D
Case 118;Turning & Milling Q.C.;Quality Check 1;2012/03/30 11:41:00.000;001:23;10;Ballnut;ID4287;D
Case 124;Turning & Milling;Machine 4 - Turning & Milling;2012/03/20 14:34:00.000;007:35;12;Ballnut;ID4932;S
Case 124;Turning & Milling;Machine 4 - Turning & Milling;2012/03/20 15:58:00.000;001:23;12;Ballnut;ID4932;D
Case 124;Turning & Milling;Machine 4 - Turning & Milling;2012/03/20 17:54:00.000;001:55;12;Ballnut;ID4429;D
Case 124;Turning & Milling;Machine 4 - Turning & Milling;2012/03/20 22:36:00.000;004:42;12;Ballnut;ID4167;D
Case 124;Turning & Milling Q.C.;Quality Check 1;2012/03/21 14:07:00.000;001:39;12;Ballnut;ID4287;D
Case 124;Laser Marking;Machine 7- Laser Marking;2012/03/21 16:20:00.000;000:19;12;Ballnut;ID0998;D
Case 124;Lapping;Machine 1 - Lapping;2012/03/22 07:46:00.000;000:14;12;Ballnut;ID4718;D
Case 124;Final Inspection Q.C.;Quality Check 1;2012/03/23 12:16:00.000;001:45;12;Ballnut;ID4287;D
Case 124;Final Inspection Q.C.;Quality Check 1;2012/03/25 10:15:00.000;000:15;12;Ballnut;ID4287;D
Case 124;Packing;Packing;2012/03/26 01:00:00.000;000:00;12;Ballnut;ID4820;D
Case 125;Turning & Milling;Machine 6 - Turning & Milling;2012/03/29 06:42:00.000;005:12;48;Ballnut;ID4794;S
Case 125;Turning & Milling;Machine 6 - Turning & Milling;2012/03/29 13:22:00.000;005:56;48;Ballnut;ID4167;S
Case 125;Turning & Milling;Machine 6 - Turning & Milling;2012/03/29 15:58:00.000;000:15;48;Ballnut;ID4167;D
Case 125;Turning & Milling Q.C.;Quality Check 1;2012/03/29 16:03:00.000;002:38;48;Ballnut;ID4618;D
Case 125;Turning & Milling;Machine 6 - Turning & Milling;2012/03/29 17:29:00.000;000:44;48;Ballnut;ID4429;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/04 15:14:00.000;005:47;290;Ballnut;ID4794;S
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/04 15:59:00.000;000:45;290;Ballnut;ID4794;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/04 20:08:00.000;001:56;290;Ballnut;ID4167;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/05 06:43:00.000;010:34;290;Ballnut;ID4529;D
Case 127;Turning & Milling Q.C.;Quality Check 1;2012/03/05 08:00:00.000;001:04;290;Ballnut;ID4618;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/05 16:01:00.000;007:57;290;Ballnut;ID4794;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/05 22:54:00.000;002:40;290;Ballnut;ID4529;S
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/06 00:12:00.000;004:00;290;Ballnut;ID4529;D
Case 127;Lapping;Machine 1 - Lapping;2012/03/06 01:15:00.000;000:00;290;Ballnut;ID4882;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/06 06:25:00.000;005:47;290;Ballnut;ID0997;D
Case 127;Turning & Milling Q.C.;Quality Check 1;2012/03/06 07:35:00.000;000:34;290;Ballnut;ID4618;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/06 10:29:00.000;003:22;290;Ballnut;ID4794;B
Case 127;Turning & Milling Q.C.;Quality Check 1;2012/03/06 14:49:00.000;000:00;290;Ballnut;ID4618;D
Case 127;Lapping;Machine 1 - Lapping;2012/03/06 15:12:00.000;001:37;290;Ballnut;ID0998;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/06 15:53:00.000;005:24;290;Ballnut;ID4794;D
Case 127;Packing;Packing;2012/03/07 01:00:00.000;000:00;290;Ballnut;ID4820;D
Case 127;Laser Marking;Machine 7- Laser Marking;2012/03/07 01:43:00.000;002:09;290;Ballnut;ID4445;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/07 06:50:00.000;009:18;290;Ballnut;ID0997;D
Case 127;Turning & Milling Q.C.;Quality Check 1;2012/03/07 07:31:00.000;000:18;290;Ballnut;ID4618;D
Case 127;Final Inspection Q.C.;Quality Check 1;2012/03/07 08:47:00.000;000:00;290;Ballnut;ID4618;D
Case 127;Turning & Milling;Machine 6 - Turning & Milling;2012/03/07 15:42:00.000;008:43;290;Ballnut;ID4794;D
Case 127;Turning & Milling Q.C.;Quality Check 1;2012/03/07 16:43:00.000;000:01;290;Ballnut;ID4618;D
Case 127;Final Inspection Q.C.;Quality Check 1;2012/03/07 17:21:00.000;000:00;290;Ballnut;ID4618;D
Case 127;Lapping;Machine 1 - Lapping;2012/03/08 15:55:00.000;001:13;290;Ballnut;ID0998;D
Case 127;Laser Marking;Machine 7- Laser Marking;2012/03/08 22:09:00.000;001:43;290;Ballnut;ID4445;D
Case 127;Turning & Milling Q.C.;Quality Check 1;2012/03/12 07:42:00.000;000:07;290;Ballnut;ID4618;D
Case 127;Turning & Milling Q.C.;Quality Check 1;2012/03/12 08:11:00.000;000:02;290;Ballnut;ID4618;D
Case 127;Final Inspection Q.C.;Quality Check 1;2012/03/12 11:00:00.000;001:27;290;Ballnut;ID4618;D
Case 127;Lapping;Machine 1 - Lapping;2012/03/12 12:20:00.000;000:01;290;Ballnut;ID0998;D
Case 127;Final Inspection Q.C.;Quality Check 1;2012/03/12 12:21:00.000;000:04;290;Ballnut;ID4618;D
Case 127;Laser Marking;Machine 7- Laser Marking;2012/03/12 12:21:00.000;000:01;290;Ballnut;ID0998;D
Case 127;Final Inspection Q.C.;Quality Check 1;2012/03/12 12:49:00.000;000:00;290;Ballnut;ID4618;D
Case 127;Packing;Packing;2012/03/13 01:00:00.000;000:00;290;Ballnut;ID4820;D
Case 127;Laser Marking;Machine 7- Laser Marking;2012/03/13 15:15:00.000;000:31;290;Ballnut;ID4355;D
Case 127;Lapping;Machine 1 - Lapping;2012/03/15 01:15:00.000;000:00;290;Ballnut;ID4882;D
Case 127;Lapping;Machine 1 - Lapping;2012/03/15 13:59:00.000;000:32;290;Ballnut;ID4882;D
Case 127;Final Inspection Q.C.;Quality Check 1;2012/03/19 15:54:00.000;001:48;290;Ballnut;ID4618;D
Case 127;Final Inspection Q.C.;Quality Check 1;2012/03/19 17:58:00.000;001:58;290;Ballnut;ID4618;D
Case 127;Packing;Packing;2012/03/20 01:00:00.000;000:00;290;Ballnut;ID4820;D
Case 127;Final Inspection Q.C.;Quality Check 1;2012/03/20 07:18:00.000;000:15;290;Ballnut;ID4618;D
Case 130;Turning & Milling;Machine 6 - Turning & Milling;2012/03/08 01:08:00.000;001:23;126;Ballnut;ID4529;D
Case 136;Turning & Milling;Machine 6 - Turning & Milling;2012/03/29 23:34:00.000;004:19;600;Ballnut;ID4794;S
Case 136;Turning & Milling;Machine 6 - Turning & Milling;2012/03/30 05:55:00.000;006:21;600;Ballnut;ID4794;D
Case 136;Turning & Milling Q.C.;Quality Check 1;2012/03/30 07:21:00.000;000:45;600;Ballnut;ID4618;D
Case 142;Turning & Milling Q.C.;Quality Check 1;2012/03/22 16:06:00.000;002:06;18;Ballnut;ID4287;D
Case 142;Turning & Milling Q.C.;Quality Check 1;2012/03/26 11:10:00.000;001:10;18;Ballnut;ID4287;D
Case 146;Packing;Packing;2012/02/19 01:00:00.000;000:00;21;Ballnut;ID4820;D
Case 146;Final Inspection Q.C.;Quality Check 1;2012/02/19 08:40:00.000;001:40;21;Ballnut;ID4287;D
Case 150;Flat Grinding;Machine 11 - Grinding;2012/02/02 01:15:00.000;000:00;18;Ballnut;ID4618;D
Case 150;Laser Marking;Machine 7- Laser Marking;2012/02/02 01:15:00.000;000:00;18;Ballnut;ID4618;D
Case 150;Round Grinding;Machine 3 - Round Grinding;2012/02/02 01:15:00.000;000:00;18;Ballnut;ID4618;D
Case 150;Final Inspection Q.C.;Quality Check 1;2012/02/02 09:47:00.000;000:01;18;Ballnut;ID4618;D
Case 154;Round Grinding - Q.C.;Quality Check 1;2012/01/04 01:15:00.000;000:00;27;Ballnut;ID4493;D
